time,ANM,Non-ANM,Total
2021-12-11 15:06:00+00:00,10.102559,16.995,27.097559
2021-12-11 15:07:00+00:00,9.80756,17.745,27.55256
2021-12-11 15:08:00+00:00,9.79356,16.704,26.49756
2021-12-11 15:09:00+00:00,10.243559,17.172,27.415559000000002
2021-12-11 15:10:00+00:00,9.536559,16.634,26.170559
2021-12-11 15:11:00+00:00,11.971558,17.377,29.348557999999997
2021-12-11 15:12:00+00:00,12.196557,16.525,28.721556999999997
2021-12-11 15:13:00+00:00,12.109562,17.052,29.161562
2021-12-11 15:14:00+00:00,12.168559,16.772,28.940559
2021-12-11 15:15:00+00:00,12.309558,17.178,29.487558
2021-12-11 15:16:00+00:00,10.107558,16.991,27.098557999999997
2021-12-11 15:17:00+00:00,10.76956,17.897,28.666559999999997
2021-12-11 15:18:00+00:00,11.84756,17.463,29.310560000000002
2021-12-11 15:19:00+00:00,11.549558,17.371,28.920558
2021-12-11 15:20:00+00:00,12.078558,16.77,28.848557999999997
2021-12-11 15:21:00+00:00,12.370558,17.101,29.471558
2021-12-11 15:22:00+00:00,12.204558,17.615,29.819558
2021-12-11 15:23:00+00:00,12.624561,17.336,29.960561
2021-12-11 15:24:00+00:00,12.107561,17.01,29.117561000000002
2021-12-11 15:25:00+00:00,11.817557,17.309,29.126557000000002
2021-12-11 15:26:00+00:00,12.746561,16.991,29.737561
2021-12-11 15:27:00+00:00,13.000562,17.055,30.055562000000002
2021-12-11 15:28:00+00:00,12.048562,16.28,28.328562
2021-12-11 15:29:00+00:00,11.668559,16.903,28.571559
2021-12-11 15:30:00+00:00,11.665555,16.709,28.374555
2021-12-11 15:31:00+00:00,10.627562,17.047,27.674562
2021-12-11 15:32:00+00:00,11.97156,17.241,29.21256
2021-12-11 15:33:00+00:00,12.245559,17.815,30.060559
2021-12-11 15:34:00+00:00,12.03056,17.719,29.749560000000002
2021-12-11 15:35:00+00:00,11.843556,17.359,29.202556
2021-12-11 15:36:00+00:00,11.274558,17.632,28.906558000000004
2021-12-11 15:37:00+00:00,11.631559,17.231,28.862559
2021-12-11 15:38:00+00:00,11.89356,17.249,29.14256
2021-12-11 15:39:00+00:00,11.535561,17.069,28.604560999999997
2021-12-11 15:40:00+00:00,11.442559,17.144,28.586558999999998
2021-12-11 15:41:00+00:00,11.915559,17.114,29.029559
2021-12-11 15:42:00+00:00,12.25956,17.699,29.958560000000002
2021-12-11 15:43:00+00:00,11.824562,17.598,29.422562
2021-12-11 15:44:00+00:00,12.211558,17.216,29.427558
2021-12-11 15:45:00+00:00,12.16156,17.555,29.71656
2021-12-11 15:46:00+00:00,12.216558,17.014,29.230558
2021-12-11 15:47:00+00:00,12.67056,17.001,29.67156
2021-12-11 15:48:00+00:00,12.200558,17.024,29.224558000000002
2021-12-11 15:49:00+00:00,11.808559,17.004,28.812559
2021-12-11 15:50:00+00:00,12.200558,17.213,29.413558000000002
2021-12-11 15:51:00+00:00,12.246558,17.521,29.767558
2021-12-11 15:52:00+00:00,12.37056,17.522,29.892559999999996
2021-12-11 15:53:00+00:00,11.634559,17.793,29.427559
2021-12-11 15:54:00+00:00,12.213559,17.074,29.287559
2021-12-11 15:55:00+00:00,11.081559,17.621,28.702559
2021-12-11 15:56:00+00:00,12.56556,17.591,30.15656
2021-12-11 15:57:00+00:00,12.620561,17.692,30.312561000000002
2021-12-11 15:58:00+00:00,12.805557,17.769,30.574557
2021-12-11 15:59:00+00:00,11.232558,17.189,28.421557999999997
2021-12-11 16:00:00+00:00,10.93956,17.022,27.96156
2021-12-11 16:01:00+00:00,11.899559,17.063,28.962559
2021-12-11 16:02:00+00:00,12.898557,17.037,29.935557
2021-12-11 16:03:00+00:00,11.572558,17.392,28.964558
2021-12-11 16:04:00+00:00,11.981559,17.171,29.152559
2021-12-11 16:05:00+00:00,12.937557,17.319,30.256557
2021-12-11 16:06:00+00:00,13.162555,17.254,30.416555000000002
2021-12-11 16:07:00+00:00,12.050558,17.595,29.645558
2021-12-11 16:08:00+00:00,12.364557,17.372,29.736556999999998
2021-12-11 16:09:00+00:00,12.567559,17.756,30.323559
2021-12-11 16:10:00+00:00,11.034558,17.539,28.573558000000002
2021-12-11 16:11:00+00:00,12.087559,17.575,29.662559
2021-12-11 16:12:00+00:00,12.87756,17.689,30.566560000000003
2021-12-11 16:13:00+00:00,12.335559,17.368,29.703559
2021-12-11 16:14:00+00:00,12.456556,17.379,29.835556000000004
2021-12-11 16:15:00+00:00,12.710557,16.885,29.595557
2021-12-11 16:16:00+00:00,13.401558,17.553,30.954558
2021-12-11 16:17:00+00:00,12.594557,17.33,29.924557
2021-12-11 16:18:00+00:00,12.667561,17.337,30.004561
2021-12-11 16:19:00+00:00,12.925559,17.134,30.059559
2021-12-11 16:20:00+00:00,12.289561,16.869,29.158561
2021-12-11 16:21:00+00:00,11.742557,16.662,28.404556999999997
2021-12-11 16:22:00+00:00,12.173557,17.194,29.367556999999998
2021-12-11 16:23:00+00:00,12.94456,16.936,29.88056
2021-12-11 16:24:00+00:00,12.272562,17.091,29.363562
2021-12-11 16:25:00+00:00,12.22156,16.301,28.52256
2021-12-11 16:26:00+00:00,12.149556,16.43,28.579556
2021-12-11 16:27:00+00:00,12.989561,16.59,29.579560999999998
2021-12-11 16:28:00+00:00,12.186561,16.907,29.093561
2021-12-11 16:29:00+00:00,12.38756,17.111,29.49856
2021-12-11 16:30:00+00:00,12.85456,16.937,29.79156
2021-12-11 16:31:00+00:00,12.420558,16.668,29.088558
2021-12-11 16:32:00+00:00,12.008558,16.977,28.985558
2021-12-11 16:33:00+00:00,10.94056,16.372,27.312559999999998
2021-12-11 16:34:00+00:00,11.325561,16.591,27.916561
2021-12-11 16:35:00+00:00,11.364557,16.264,27.628557
2021-12-11 16:36:00+00:00,11.508559,15.706,27.214559
2021-12-11 16:37:00+00:00,11.91156,16.59,28.501559999999998
2021-12-11 16:38:00+00:00,11.145558,15.553,26.698558
2021-12-11 16:39:00+00:00,11.081559,16.537,27.618558999999998
2021-12-11 16:40:00+00:00,10.921561,16.666,27.587561
2021-12-11 16:41:00+00:00,10.872559,17.001,27.873559
2021-12-11 16:42:00+00:00,10.793557,16.787,27.580557
2021-12-11 16:43:00+00:00,10.84256,17.084,27.926560000000002
2021-12-11 16:44:00+00:00,10.046557,16.332,26.378557
2021-12-11 16:45:00+00:00,9.840559,16.494,26.334559
2021-12-11 16:46:00+00:00,10.684561,16.549,27.233561
2021-12-11 16:47:00+00:00,10.912556,16.145,27.057555999999998
2021-12-11 16:48:00+00:00,10.908559,17.079,27.987559
2021-12-11 16:49:00+00:00,10.911559,16.278,27.189559
2021-12-11 16:50:00+00:00,11.13356,16.335,27.46856
2021-12-11 16:51:00+00:00,10.990558,16.44,27.430558
2021-12-11 16:52:00+00:00,10.91556,16.573,27.48856
2021-12-11 16:53:00+00:00,10.585558,14.706,25.291558000000002
2021-12-11 16:54:00+00:00,11.010559,14.355,25.365559
2021-12-11 16:55:00+00:00,11.196559,16.303,27.499559
2021-12-11 16:56:00+00:00,10.961558,16.412,27.373558
2021-12-11 16:57:00+00:00,11.37156,16.401,27.77256
2021-12-11 16:58:00+00:00,10.861559,16.179,27.040559
2021-12-11 16:59:00+00:00,10.216559,16.065,26.281559
2021-12-11 17:00:00+00:00,11.029557,15.817,26.846557
2021-12-11 17:01:00+00:00,10.801561,15.698,26.499561
2021-12-11 17:02:00+00:00,10.274559,15.16,25.434559
2021-12-11 17:03:00+00:00,10.510559,15.358,25.868559
2021-12-11 17:04:00+00:00,10.82256,15.194,26.01656
2021-12-11 17:05:00+00:00,10.30456,15.113,25.41756
2021-12-11 17:06:00+00:00,10.188559,15.257,25.445559
2021-12-11 17:07:00+00:00,10.007559,15.294,25.301559
2021-12-11 17:08:00+00:00,10.37556,15.784,26.15956
2021-12-11 17:09:00+00:00,10.128558,15.847,25.975558
2021-12-11 17:10:00+00:00,10.039557,15.483,25.522557
2021-12-11 17:11:00+00:00,9.89856,15.732,25.63056
2021-12-11 17:12:00+00:00,9.673558,15.292,24.965558
2021-12-11 17:13:00+00:00,10.140559,15.376,25.516559
2021-12-11 17:14:00+00:00,9.791558,15.416,25.207558
2021-12-11 17:15:00+00:00,9.499558,15.706,25.205558
2021-12-11 17:16:00+00:00,9.885559,15.373,25.258558999999998
2021-12-11 17:17:00+00:00,9.908558,15.654,25.562558
2021-12-11 17:18:00+00:00,9.603559,15.039,24.642559
2021-12-11 17:19:00+00:00,9.637557,15.689,25.326557
2021-12-11 17:20:00+00:00,9.585558,15.656,25.241558
2021-12-11 17:21:00+00:00,9.053557,15.071,24.124557
2021-12-11 17:22:00+00:00,10.092558,15.274,25.366557999999998
2021-12-11 17:23:00+00:00,9.513559,15.876,25.389559
2021-12-11 17:24:00+00:00,8.856558,15.632,24.488557999999998
2021-12-11 17:25:00+00:00,8.94556,16.202,25.147560000000002
2021-12-11 17:26:00+00:00,9.504559,15.807,25.311559000000003
2021-12-11 17:27:00+00:00,9.382559,15.985,25.367559
2021-12-11 17:28:00+00:00,8.42756,16.563,24.99056
2021-12-11 17:29:00+00:00,8.896559,16.575,25.471559
2021-12-11 17:30:00+00:00,8.545558,16.456,25.001558
2021-12-11 17:31:00+00:00,8.129558,16.274,24.403558
2021-12-11 17:32:00+00:00,8.248557,16.471,24.719557000000002
2021-12-11 17:33:00+00:00,8.418558,16.548,24.966558
2021-12-11 17:34:00+00:00,8.86656,16.679,25.54556
2021-12-11 17:35:00+00:00,9.68456,16.083,25.767559999999996
2021-12-11 17:36:00+00:00,9.43056,16.795,26.22556
